bin_low,bin_high,count
0.0,4.0,90650
4.0,8.0,15749
8.0,12.0,14421
12.0,16.0,49555
16.0,20.0,31612
20.0,24.0,17828
24.0,28.0,5012
28.0,32.0,6918
32.0,36.0,6507
36.0,40.0,4129
40.0,44.0,2771
44.0,48.0,1229
48.0,52.0,6456
52.0,56.0,1133
56.0,60.0,62
60.0,64.0,0
64.0,68.0,0
68.0,72.0,0
72.0,76.0,0
76.0,80.0,0
80.0,84.0,0
84.0,88.0,0
88.0,92.0,0
92.0,96.0,0
96.0,100.0,0
100.0,104.0,0
104.0,108.0,0
108.0,112.0,0
112.0,116.0,0
116.0,120.0,0
120.0,124.0,0
124.0,128.0,0
128.0,132.0,0
132.0,136.0,0
136.0,140.0,0
140.0,144.0,0
144.0,148.0,0
148.0,152.0,0
152.0,156.0,0
156.0,160.0,0
160.0,164.0,0
164.0,168.0,0
168.0,172.0,0
172.0,176.0,0
176.0,180.0,0
180.0,184.0,0
184.0,188.0,0
188.0,192.0,0
192.0,196.0,0
196.0,200.0,0
200.0,204.0,0
204.0,208.0,0
208.0,212.0,0
212.0,216.0,0
216.0,220.0,0
220.0,224.0,0
224.0,228.0,0
228.0,232.0,0
232.0,236.0,0
236.0,240.0,0
240.0,244.0,0
244.0,248.0,0
248.0,252.0,0
252.0,256.0,0
